ISTAT	Titolo	lat	lon	RipartizioneN	Ripartizione	Regione	Provincia	Capoluogo	Sigla	Popolazione	pDim	svg	jpg	png	gif	tif	mAltri	nNum	bDim	bNum	mNum	mSezioni	mDim	mImm	qTipo	aNum	C	Correggere	Curiosità	D	E	F	NN	Organizzare	P	Recentismo	S	Senza fonte	Tmp	W
28001	Abano Terme	45.3619	11.7924	2	Nord-est	Veneto	Padova	0	PD	20274	30589	14	5	4	0	0	0	25	0	0	1	Monumenti e luoghi d'interesse	5,744	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98001	Abbadia Cerreto	45.31305556	9.595277778	1	Nord-ovest	Lombardia	Lodi	0	LO	270	5946	10	2	1	0	0	0	6	0	0	1	Monumenti e luoghi d'interesse	206	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
97001	Abbadia Lariana	45.9	9.333333333	1	Nord-ovest	Lombardia	Lecco	0	LC	3207	11558	10	3	3	0	0	0	8	599	3	1	Monumenti e luoghi d'interesse	2,060	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0
52001	Abbadia San Salvatore	42.88313056	11.67064722	3	Centro	Toscana	Siena	0	SI	6241	22051	15	8	2	0	0	0	12	0	0	1	Monumenti e luoghi d'interesse	1,248	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
95001	Abbasanta	40.12583333	8.819444444	5	Isole	Sardegna	Oristano	0	OR	2643	11528	11	7	1	0	0	0	13	473	2	1	Monumenti e luoghi d'interesse	533	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68001	Abbateggio	42.23333333	14.01666667	4	Sud	Abruzzo	Pescara	0	PE	365	11571	7	1	2	0	0	0	21	503	4	1	Monumenti e luoghi d'interesse	2,345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15002	Abbiategrasso	45.4009	8.9185	1	Nord-ovest	Lombardia	Milano	0	MI	32855	56031	13	14	2	0	0	0	13	167	2	1	Monumenti e luoghi d'interesse	30,957	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
47023	Abetone Cutigliano	44.100278	10.756389	3	Centro	Toscana	Pistoia	0	PT	2033	5604	8	1	2	0	0	0	19	0	0	1	Monumenti e luoghi d'interesse	542	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
76001	Abriola	40.51666667	15.78333333	4	Sud	Basilicata	Potenza	0	PZ	1379	6240	8	1	3	0	0	0	4	0	0	1	Monumenti e luoghi d'interesse	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88001	Acate	37.02528611	14.49246389	5	Isole	Sicilia	Ragusa	0	RG	11486	18147	12	5	2	0	0	0	19	0	0	1	Monumenti e luoghi d'interesse	2,549	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71001	Accadia	41.16666667	15.33333333	4	Sud	Puglia	Foggia	0	FG	2277	53036	12	30	1	0	0	0	44	3,307	23	1	Monumenti e luoghi d'interesse	15,101	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4001	Acceglio	44.48333333	6.983333333	1	Nord-ovest	Piemonte	Cuneo	0	CN	156	12376	8	6	4	0	0	0	21	0	0	1	Monumenti e luoghi d'interesse	1,519	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
77001	Accettura	40.48333333	16.15	4	Sud	Basilicata	Matera	0	MT	1718	14615	9	17	1	0	0	0	9	1,148	8	2	Monumenti e luoghi d'interesse|Musei	3,810	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0
66001	Acciano	42.17677	13.71783	4	Sud	Abruzzo	L'Aquila	0	AQ	312	51560	10	15	2	0	0	0	9	0	0	2	Monumenti e luoghi d'interesse|Musei	21,497	9	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1
57001	Accumoli	42.69444444	13.2475	3	Centro	Lazio	Rieti	0	RI	585	19669	9	4	3	0	0	0	11	0	0	2	Monumenti e luoghi d'interesse|Musei	3,923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76002	Acerenza	40.8	15.95	4	Sud	Basilicata	Potenza	0	PZ	2268	20703	9	6	3	0	0	0	6	269	2	1	Monumenti e luoghi d'interesse	7,754	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
65001	Acerno	40.75	15.05	4	Sud	Campania	Salerno	0	SA	2613	9282	8	1	2	0	0	0	9	0	0	1	Monumenti e luoghi d'interesse	1,256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
63001	Acerra	40.95	14.36666667	4	Sud	Campania	Napoli	0	NA	59525	30546	12	12	2	0	0	0	41	0	0	2	Monumenti e luoghi d'interesse|Museo di Pulcinella	7,911	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
87001	Aci Bonaccorsi	37.59551944	15.10951389	5	Isole	Sicilia	Catania	0	CT	3542	12217	10	0	1	0	0	0	23	180	1	1	Monumenti e luoghi d'interesse	2,163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87002	Aci Castello	37.55	15.15	5	Isole	Sicilia	Catania	0	CT	18310	8470	11	2	1	0	0	0	12	0	0	1	Monumenti e luoghi d'interesse	1,387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87003	Aci Catena	37.6	15.15	5	Isole	Sicilia	Catania	0	CT	28856	16176	13	4	1	0	0	0	20	0	0	1	Monumenti e luoghi d'interesse	1,629	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
