name,birth,age,sport,event,team,medal,gender,full_name,height_cm,weight_kg,born_location,born_lat_lon,death,rank
A Lamusi,1989-06-02,23,Judo,Men's Extra-Lightweight,China,,Male,A Lamusi,170,60,"Nei Mongol, China","40.817498,111.765618",,17T
Jamale Aarrass,1981-11-15,30,Athletics,"Men's 1,500 metres",France,,Male,Jamale (Djamel-) Aarrass (Ahrass-),187,76,"Bezons, Val-d\'Oise, France",,,12 h2 r1/3
Abdelhak Aatakni,1988-02-09,24,Boxing,Men's Light-Welterweight,Morocco,,Male,Abdelhak Aatakni,,64,"A‚àö√â¬¨√òn Seba‚àö√â¬¨¬¢, Grand Casablanca, Morocco","33.602778,-7.541944",,17T
Mariya Abakumova,1986-01-15,26,Athletics,Women's Javelin Throw,Russia,,Female,Mariya Vasilyevna Abakumova (-Tarabina),179,80,"Stavropol, Stavropol Kray, Russia","45.05,41.983333",,10
Luc Abalo,1984-09-06,27,Handball,Men's Handball,France,Gold,Male,Luc Abalo,182,80,"Ivry-sur-Seine, Val-de-Marne, France","48.813055,2.38822",,1
Mar‚àö√â¬¨‚â†a Laura Abalo,1981-08-17,30,Rowing,Women's Coxless Pairs,Argentina,,Female,Mar‚àö√â¬¨‚â†a Laura Abalo,182,73,"Buenos Aires, Ciudad Aut‚àö√â¬¨‚â•noma de Buenos","-34.6176715,-58.3679466",,9
Emanuele Abate,1985-07-08,27,Athletics,Men's 110 metres Hurdles,Italy,,Male,Emanuele Abate,190,80,"Genoa, Genova, Italy","44.4056499,8.946256",,4 h3 r2/3
Ilyas Abbadi,1992-10-21,19,Boxing,Men's Welterweight,Algeria,,Male,Ilyas Abbadi,170,,"M‚àö√â¬¨¬©d‚àö√â¬¨¬©a, M‚àö√â¬¨¬©d‚àö√â¬¨¬©a, Algeria","36.266667,2.75",,17T
Sohail Abbas,1975-06-09,37,Hockey,Men's Hockey,Pakistan,,Male,Sohail Abbas,178,80,"Karachi, Sindh, Pakistan","24.8614622,67.0099388",,7
Shakeel Abbasi,1984-01-05,28,Hockey,Men's Hockey,Pakistan,,Male,Shakeel Abbasi,165,60,"Quetta, Balochistan, Pakistan","30.1829713,66.998734",,7
Soulmaz Abbasi,1984-01-19,28,Rowing,Women's Single Sculls,Iran,,Female,Soulmaz Abbasi Azad,173,60,"Tehran, Tehran, Iran","35.696111,51.423056",,24
Simona Abbate,1983-08-22,28,Water Polo,Women's Water Polo,Italy,,Female,Simona Abbate,171,64,"Fondi, Latina, Italy","41.359119,13.4265681",,7
Mohamed Abd El-Fatah,1978-02-04,34,Wrestling,"Men's Heavyweight, Greco-Roman",Egypt,,Male,Mohamed Ibrahim Abd El-Fatah Mohamed,185,98,"Suez, As-Suways, Egypt","29.9668343,32.5498069",,13T
Reem Abdalazem,1992-11-25,19,Synchronized Swimming,Women's Team,Egypt,,Female,Reem Wa\'il Abdalazem Abdalazem El-Bossa,167,,"Giza, Al-Jizah, Egypt","30.0130557,31.2088526",,7
Ragab Abdelhay,1991-03-04,21,Weightlifting,Men's Light-Heavyweight,Egypt,,Male,Ragab Abdelhay Saad Abdelrazek Abdallah,175,85,"Dumyat, Dumyat, Egypt","31.4175388,31.8144434",,6
Sayed Abdelmonem,1988-09-25,23,Wrestling,"Men's Lightweight, Greco-Roman",Egypt,,Male,Sayed Abdelmonem Sayed Hamed,170,60,"Cairo, Al-Qahira, Egypt","30.0444196,31.2357116",,11
Ihab Abdelrahman El-Sayed,1989-05-01,23,Athletics,Men's Javelin Throw,Egypt,,Male,Ihab Abdelrahman El-Sayed Abdelrahman,194,96,"Al-Sharqiyah, Al-Sharqiyah, Egypt","30.7326622,31.7195459",,29 r1/2
Mouni Abderrahim,1985-11-19,26,Volleyball,Women's Volleyball,Algeria,,Female,Mouni Abderrahim,173,60,"B‚àö√â¬¨¬©ja‚àö√â¬¨√òa, B‚àö√â¬¨¬©ja‚àö√â¬¨√òa, Algeria","36.75,5.066667",,11T
Saeid Abdevali,1989-11-04,22,Wrestling,"Men's Welterweight, Greco-Roman",Iran,,Male,Saeid Abdevali,170,66,"Andimeshk, Khuzestan, Iran","32.46,48.359167",,10
Youcef Abdi,1977-12-07,34,Athletics,"Men's 3,000 metres Steeplechase",Australia,,Male,Youcef Abdi,178,66,"Azazga, Tizi Ouzou, Algeria","36.745278,4.371111",,6 h2 r1/2
Abdi Abdirahman,1977-01-01,35,Athletics,Men's Marathon,United States,,Male,"Abdihakim ""Abdi"" Abdirahman",178,61,"Mogadishu, Banaadir, Somalia","2.033333,45.35",,AC
Yhyacinthe Abdon,1985-10-18,26,Boxing,Men's Lightweight,Cameroon,,Male,Yhyacinthe Mewoli Abdon,176,,"Etoa, Unknown, Cameroon",,,17T
Dana Abdul Razak,1986-01-03,26,Athletics,Women's 100 metres,Iraq,,Female,Dana Abdul Razak (Hussain-),163,56,"Baghdad, Baghdad, Iraq","33.325,44.422",,8 h5 r2/4
Mona Abdulaziz,1985-11-11,26,Fencing,"Women's Épée, Individual",Egypt,,Female,Mona Ahmad Abdulaziz Hassanein,166,61,"Alexandria, Al-Iskanderiya, Egypt","31.2000924,29.9187387",,33
Ahmed Abdulkareem,1992-04-28,20,Boxing,Men's Welterweight,Iraq,,Male,Ahmed Abdulkareem Ahmed,,,"Baghdad, Baghdad, Iraq","33.325,44.422",,17T
Muminzhon Abdullayev,1989-12-24,22,Wrestling,"Men's Super-Heavyweight, Greco-Roman",Uzbekistan,,Male,Muminzhon Abdullayev,,,"Samarqand, Uzbekistan","39.627012,66.9749731",,15T
Laye‚àö√ñ‚âà‚àè Abdullayeva,1991-05-29,21,Athletics,"Women's 5,000 metres",Azerbaijan,,Female,Laye‚àö√ñ‚âà‚àè Abdullayeva,170,47,"Addis Ababa, Addis Ababa, Ethiopia","8.9806034,38.7577605",,17 h2 r1/2
Abir Abdulrahman,1992-06-13,20,Weightlifting,Women's Heavyweight,Egypt,,Female,Abir Abdulrahman Khalil Mahmoud Khalil,162,,"Alexandria, Al-Iskanderiya, Egypt","31.2000924,29.9187387",,5
Amer Abdulrahman,1989-07-03,23,Football,Men's Football,United Arab Emirates,,Male,Amer Abdulrahman Abdallah Hussain Al-Ham,168,68,"Abu Dhabi, Abu Dhabi, United Arab Emirat","24.4215535,54.5766013",,15
Omar Abdulrahman,1991-09-20,20,Football,Men's Football,United Arab Emirates,,Male,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoud,168,62,"Ar-Riyad, Ar-Riyad, Saudi Arabia","24.633333,46.716667",,15
Shaza Abdulrahman,1992-12-23,19,Synchronized Swimming,Women's Duet,Egypt,,Female,Shaza Yahia Nazih Abdulrahman El-Sayed,170,,"Cairo, Al-Qahira, Egypt","30.0444196,31.2357116",,24
Shaza Abdulrahman,1992-12-23,19,Synchronized Swimming,Women's Team,Egypt,,Female,Shaza Yahia Nazih Abdulrahman El-Sayed,170,,"Cairo, Al-Qahira, Egypt","30.0444196,31.2357116",,7
Mohamed Abdultwab,1987-07-18,25,Weightlifting,Men's Lightweight,Egypt,,Male,Mohamed Abdultwab Ibrahim Abd El-Baki,162,69,"Al-Fayyum, Al-Fayyum, Egypt","29.3084021,30.8428497",,10
Rasul Abduraim,1988-12-13,23,Taekwondo,Men's Welterweight,Kyrgyzstan,,Male,Rasul Abduraim,183,68,"Panfilov district, Chuy, Kyrgyzstan","42.7186804,73.6065223",,11T
Yusuf Abdusalomov,1977-11-08,34,Wrestling,"Men's Light-Heavyweight, Freestyle",Tajikistan,,Male,Yusuf Abdusalomov,170,84,"Makhachkala, Respublika Dagestan, Russia","42.1431886,47.0949799",,15
Mojtaba Abedini,1984-08-11,27,Fencing,"Men's Sabre, Individual",Iran,,Male,Mojtaba Abedini Shormasti,179,82,"Tehran, Tehran, Iran","35.696111,51.423056",,37
Jennifer Abel,1991-08-23,20,Diving,Women's Springboard,Canada,,Female,Jennifer Abel,160,62,"Montr‚àö√â¬¨¬©al, Qu‚àö√â¬¨¬©bec, Canada","45.5086699,-73.5539925",,6
Jennifer Abel,1991-08-23,20,Diving,Women's Synchronized Springboard,Canada,Bronze,Female,Jennifer Abel,160,62,"Montr‚àö√â¬¨¬©al, Qu‚àö√â¬¨¬©bec, Canada","45.5086699,-73.5539925",,3
Yaritza Abel,1983-08-26,28,Judo,Women's Half-Middleweight,Cuba,,Female,Yaritza Abel Rojas,,,"Santiago de Cuba, Santiago de Cuba, Cuba","20.01693,-75.8301537",,9T
Mohamed Aberhoune,1989-05-03,23,Football,Men's Football,Morocco,,Male,Mohamed Aberhoune,187,75,"T‚àö√â¬¨¬©touan, Tangier-T‚àö√â¬¨¬©touan, Morocco","35.566667,-5.366667",,11
Pablo Abi‚àö√â¬¨¬∞n,1985-06-12,27,Badminton,Men's Singles,Spain,,Male,Pablo Abi‚àö√â¬¨¬∞n Vicen,177,78,"Calatayud, Zaragoza, Spain","41.3531678,-1.6468455",,17T
