id	subject	school	theme	argument	exhisting	article	average_daily_visit	Visite da 1/7/2015 al 31/05/2020	Media visite giornaliere 2019	size	notes	images	incipit_size	incipit_on_size	issues	Fonte necessaria	Chiarire	discussion_size	year	references	first_edit	days
2231	Letteratura italiana	Superiori	Anni 60-56	Leonardo Sciascia	1	A ciascuno il suo (romanzo)	2	5621	0	5621	2	0	495	8.81	0	0	0	254	2.5	3	2005-09-09	5379
2055	Letteratura italiana	Superiori	Primo Ottocento	Giacomo Leopardi	1	A_se_stesso	31	55821	46	7166	2	1	181	2.53	0	0	0	50	2.4	1	2008-05-24	4391
2051	Letteratura italiana	Superiori	Primo Ottocento	Giacomo Leopardi	1	A_Silvia	268	481154	378	12150	6	3	326	2.68	0	0	0	33373	2.4	2	2006-07-20	5065
2010	Letteratura italiana	Superiori	Fra XVIII e XIX sec.	Ugo Foscolo	1	A_Zacinto	438	786812	476	12267	6	2	858	6.99	0	0	0	2307	2.4	1	2007-04-23	4788
2792	Storia	Superiori	Alto medioevo		1	Abbasidi	95	170242	97	20308	5	11	1859	9.15	0	0	0	5137	???	5	???	#VALUE!
84	Biologia	Superiori	Genetica		1	Aberrazione cromosomica	35	63125	30	3000	1	2	720	24.00	1	0	0	848	2	1	2006-10-01	4992
1532	Grammatica latina	Superiori	Flessione del sostantivo	I casi	1	Ablativo	63	112878	70	5781	4	0	493	8.53	0	0	0	196	2.1	0	2005-04-10	5531
1564	Grammatica latina	Superiori	Sintassi	Complementi	1	Ablativo_assoluto	92	164807	92	8581	0	0	890	10.37	1	0	0	47	2.1	0	2007-12-02	4565
3074	Storia	Superiori	XVIII-XIX secolo	movimento abolizionista schiavitù	1	Abolizionismo_negli_Stati_Uniti_d'America	16	28210	23	90878	90	19	3814	4.20	0	0	0	2819	???	45	???	#VALUE!
1169	Geografia		Penisola italiana	Abruzzo	1	Abruzzo	887	1593942	892	229871	119	203	3028	1.32	1	0	0	144656	???	14	2003-02-27	6304
1993	Letteratura italiana	Superiori	XVIII Secolo	Illuminismo italiano	1	Accademia_dei_Pugni	29	51880	29	2126	0	1	1687	79.35	0	0	0	50	2.4	0	2006-08-20	5034
1982	Letteratura italiana	Superiori	XVIII Secolo	Coordinate generali	1	Accademia_dell'Arcadia	148	265781	128	69936	269	4	2029	2.90	0	2	0	17915	2.4	18	2006-12-09	4923
2641	Storia	Superiori	Antichità	Gli accadi	1	Accadi	68	122679	73	5633	9	0	1286	22.83	0	0	0	57	???	2	???	#VALUE!
1010	Fisica	Superiori	L'accelerazione		1	Accelerazione	247	444284	226	16862	5	5	1059	6.28	0	0	0	4460	???	6	2003-04-24	6248
1014	Fisica	Superiori	L'accelerazione		1	Accelerazione angolare	62	111638	50	4063	1	0	1291	31.77	0	1	0	522	???	1	2006-02-23	5212
1352	Grammatica italiana		Fonologia, ortografia	Accento	1	Accento tonico	5	9195	5	33	0	0	30	90.91	0	0	0	0	???	0	2007-05-21	4760
1354	Grammatica italiana		Fonologia, ortografia	Accento	1	Accento_acuto	94	169239	93	4180	1	0	589	14.09	0	0	0	291	???	0	2009-01-28	4142
1356	Grammatica italiana		Fonologia, ortografia	Accento	1	Accento_distintivo_sui_monosillabi	55	98308	32	37584	21	0	2311	6.15	0	0	0	9156	???	0	2005-07-20	5430
1355	Grammatica italiana		Fonologia, ortografia	Accento	1	Accento_grafico	61	110104	40	3813	1	0	208	5.46	1	0	0	18742	???	0	2004-01-08	5989
1353	Grammatica italiana		Fonologia, ortografia	Accento	1	Accento_grave	55	99463	53	5039	1	0	643	12.76	0	0	1	42	???	0	2009-05-25	4025
3083	Storia	Superiori	XVIII-XIX secolo	Acciaio	1	Acciaio	707	1270554	664	55152	9	15	1490	2.70	0	0	0	21228	???	4	???	#VALUE!
3149	Storia	Superiori	XX-XXI secolo	la spartizione del medio oriente	1	Accordo_Sykes-Picot	82	147393	59	9652	2	8	891	9.23	1	0	0	2338	???	1	???	#VALUE!
1530	Grammatica latina	Superiori	Flessione del sostantivo	I casi	1	Accusativo	46	82139	45	3871	1	0	3095	79.95	1	0	0	241	2.1	0	2005-04-10	5531
384	Chimica	Superiori	Dai gruppi funzionali ai polimeri		1	Acidi carbossilici	266	477610	216	14959	2	2	738	4.93	0	0	0	275	2	2	2005-05-24	5487
16	Biologia	Superiori	Chimica della vita		1	Acidi nucleici	151	271860	128	7627	2	0	993	13.02	0	0	0	338	2	0	2003-08-02	6148
347	Chimica	Superiori	Gli acidi e le basi		1	Acido	208	373732	189	11648	10	1	1841	15.81	0	0	0	5191	2	2	2004-09-17	5736
2405	Scienze	Medie	Sistema Terra		1	Acqua	818	1469962	760	115563	137	36	3460	2.99	0	0	0	42146	1	55	2003-12-27	6001
2334	Scienze della Terra	Superiori	Idrosfera e le acque oceaniche		1	Acqua di mare	108	193368	95	4866	0	1	403	8.28	1	0	0	1595	2	0	2006-06-20	5095
2407	Scienze	Medie	Sistema Terra		1	Acqua dolce	74	132230	75	14964	6	3	777	5.19	0	0	0	3042	1	1	2006-05-23	5123
1133	Geografia		Geografia politica ed economica	Acqua potabile	1	Acqua_potabile	98	175823	79	21049	15	3	588	2.79	1	0	0	2007-08-30	???	4	2007-08-30	4659
2338	Scienze della Terra	Superiori	Acque continentali		1	Acque di superficie	5	9830	5	476	0	0	290	60.92	1	0	0	49	2	0	2010-04-03	3712
2738	Storia	Superiori	Roma	Acquedotti romani	1	Acquedotto_romano	142	255241	147	35066	30	8	2605	7.43	0	1	0	1080	???	17	???	#VALUE!
3366	Storia dell'arte	Superiori	Arte greca		1	Acropoli di Atene	265	475770	275	9343	8	5	562	6.02	0	0	0	4578	???	2	2006-11-24	4938
2049	Letteratura italiana	Superiori	Primo Ottocento	Giacomo Leopardi	0	Ad Angelo Mai	0	0	0	51	0	0	48	94.12	0	0	0	0	2.4	0	2018-01-28	855
687	Diritto e Economia	Superiori	Economia e il sistema economico		1	Adam Smith	260	467404	247	32015	3	7	2400	7.50	0	0	0	3816	???	20	2003-04-30	6242
3571	Matematica	Elementari	Le quattro operazioni	Addizione	1	Addizione	96	172360	70	14387	16	7	1849	12.85	0	0	0	8609	0.2	7	2005-07-08	5442
2034	Letteratura italiana	Superiori	Primo Ottocento	Alessandro Manzoni	1	Adelchi (Manzoni)	197	354461	183	11000	9	1	450	4.09	0	0	0	50	???	0	???	#VALUE!
30	Biologia	Superiori	Cellula		1	Adenosina trifosfato	428	768594	376	6276	1	2	1509	24.04	0	0	0	1695	2	0	2003-08-21	6129
3189	Storia	Superiori	XX-XXI secolo	Adolf Hitler	1	Adolf_Hitler	2410	4330364	2168	188055	116	60	5661	3.01	0	0	0	57036	???	37	???	#VALUE!
280	Chimica	Superiori	Sistema periodico		1	Affinità elettronica	100	179815	98	10557	3	0	243	2.30	0	0	0	1885	2	0	2004-10-21	5702
1301	Geografia		Asia	Afghanistan	1	Afghanistan	582	1046341	530	56845	25	16	3408	6.00	0	0	0	10843	???	16	2005-01-06	5625
1261	Geografia		Africa	Africa	1	Africa	1045	1877135	1071	61292	34	19	1163	1.90	0	0	0	10950	???	11	2003-09-26	6093
1279	Geografia		Africa	Africa equatoriale	1	Africa_centrale	56	101303	54	36175	30	11	755	2.09	0	0	0	2920	???	4	2006-06-15	5100
1287	Geografia		Africa	Africa australe	1	Africa_meridionale	16	29447	34	4239	1	3	463	10.92	1	0	0	0	???	0	2006-07-08	5077
1276	Geografia		Africa	Africa occidentale	1	Africa_occidentale	61	110343	58	25724	1	6	985	3.83	2	0	0	743	???	0	2004-07-27	5788
1282	Geografia		Africa	Africa orientale	1	Africa_orientale	50	90139	55	28599	31	5	232	0.81	1	0	0	686	???	4	2006-03-06	5201
1544	Grammatica latina	Superiori	Flessione dell'aggettivo	Tipi di aggettivi	0	Aggettivi possessivi latini	0	0	0	0	0	0	0	#DIV/0!	0	0	0	0	???	1	???	#VALUE!
1545	Grammatica latina	Superiori	Flessione dell'aggettivo	Tipi di aggettivi	0	Aggettivi pronominali latini	0	0	0	0	0	0	0	#DIV/0!	0	0	0	0	???	0	???	#VALUE!
1541	Grammatica latina	Superiori	Flessione dell'aggettivo	Classe dell'aggettivo	1	Aggettivi_latini_della_I_classe	30	54125	64	6108	0	0	3711	60.76	0	0	0	332	2.1	0	2008-04-29	4416
1542	Grammatica latina	Superiori	Flessione dell'aggettivo	Classe dell'aggettivo	1	Aggettivi_latini_della_II_classe	41	74386	77	4839	0	0	402	8.31	0	0	0	47	2.1	0	2008-05-18	4397
1400	Grammatica italiana		Aggettivo	Aggettivi	1	Aggettivo	173	310682	135	8930	11	0	428	4.79	1	0	2	1762	???	5	2005-08-21	5398
1404	Grammatica italiana		Aggettivo	Aggettivi dimostrativo	1	Aggettivo_dimostrativo	268	481079	183	6204	2	0	905	14.59	1	0	0	3046	???	2	2007-03-21	4821
1405	Grammatica italiana		Aggettivo	Aggettivi indefinti	1	Aggettivo_e_pronome_indefinito	201	360543	145	7138	0	0	687	9.62	0	0	0	794	???	2	2007-04-04	4807
1406	Grammatica italiana		Aggettivo	Agg. interrogativi/esclamativi	1	Aggettivo_interrogativo_ed_esclamativo	84	150212	79	2294	0	0	1892	82.48	2	0	0	139	???	0	2007-03-14	4828
