id_wikidata	article	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource
Q1	Universo	Scienze della Terra	426	425	98298	97513	96	96	12	12	16	16	2411	2.45	2442	0	0	4	0	49651	48432	2004-04-24	6247	921218	9	0	0	Universe	
Q1000462	Tupla	Informatica	43	42	1608	1608	0	0	0	0	0	0	1215	75.56	1215	3	3	0	0	41	41	2005-07-27	5788	92313	1	0	0		
Q1001	Mahatma Gandhi	Storia	1350	1331	123731	115419	92	84	15	15	49	49	1795	1.45	1713	0	0	3	0	48675	46973	2004-03-18	6284	2918089	99	0	0	Mohandas K. Gandhi	Mohandas K. Gandhi
Q1003	Solidarność	Storia	108	4	8063	66	7	0	1	0	2	2	417	5.17	58	0	0	0	0	1438	1438	2004-07-07	6173	233337	7	0	0	Solidarność	
Q1006733	Prateria	Geografia	90	92	4546	5057	0	0	1	1	0	0	942	20.72	948	0	0	0	0	1555	-	2006-12-22	5275	193578	-11	0	0	Grasslands	
Q101017	Distillazione	Scienze	258	258	53103	53015	54	54	20	20	20	20	1583	2.98	1630	0	0	0	1	15646	15646	2004-12-19	6008	557994	0	0	0	Distillation	
Q101274	Protozoa	Scienze	153	154	18921	18835	2	2	2	1	1	1	879	4.65	887	1	1	2	0	5665	5665	2004-05-26	6215	330542	-4	0	0	Protista	
Q10135	LibreOffice	Informatica	101	101	27237	27044	39	39	9	8	0	0	885	3.25	897	0	0	0	5	7558	7169	2010-10-22	3875	218667	2	0	0	LibreOffice	
Q101362	Homo erectus	Storia	198	196	8702	8473	3	3	3	2	0	0	1866	21.44	1835	0	0	0	0	11955	11955	2004-10-04	6084	427722	9	0	0	Homo erectus	
Q101373	Homo habilis	Storia	164	163	13160	13341	7	7	4	4	1	1	764	5.81	764	1	1	1	0	147	147	2005-07-05	5810	353842	1	0	0	Homo habilis	
Q101395	Numero di massa	Chimica	124	119	3085	2491	3	2	1	1	6	6	765	24.80	626	1	1	0	0	818	37	2004-09-17	6101	267148	24	0	0		
Q101420429	Patrimoni dell'umanità d'Italia	Geografia	114	66	28712	65999	1	24	69	130	0	0	523	1.82	531	0	0	0	0	9690	6672	2014-01-03	2706	245697	237	0	0		
Q101487	Esteri	Chimica	241	251	8515	8703	1	1	1	1	0	0	1271	14.93	1271	0	0	0	0	37	37	2005-05-24	5852	521836	-49	0	0	Esters	
Q101497	Aldeidi	Chimica	173	174	11353	11221	5	5	2	2	3	3	2128	18.74	1971	0	0	0	0	7508	7508	2004-10-05	6083	373040	-8	0	0	Aldehydes	
