id_wikidata	article	subject	first_edit	days	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	all_visits	VdQ	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource	linguistic_versions
Q1	Universo	Scienze della Terra	2004-04-24	7557	369	291	101763	99292	106	98	11	12	0	0	67605	66.4338	2394	0	0	5	0	2235	51227	1281977	0	Universe			116
Q1001	Mahatma Gandhi	Storia	2004-03-18	7594	1182	881	122434	122180	93	93	17	16	0	0	50520	41.2630	1753	1	1	0	0	1865	50287	4105088	0	Mohandas K. Gandhi	Mohandas K. Gandhi		123
Q1003	Solidarność	#N/A	2004-07-07	7483	114	#N/A	6204	#N/A	2	#N/A	1	#N/A	0	0	1438	23.1786	#N/A	0	#N/A	0	0	443	#N/A	397433	0	Solidarność			#N/A
Q1006733	Prateria	Geografia	2006-12-22	6585	76	52	4885	5660	0	0	3	11	0	0	1555	31.8321	942	0	0	0	0	926	1555	263122	0	Grasslands			47
Q101017	Distillazione	Scienze	2004-12-19	7318	211	133	53853	53771	54	54	20	20	0	0	16424	30.4978	1570	0	0	0	1	1570	16424	733575	0	Distillation			73
Q101274	Protozoa	Scienze	2004-05-26	7525	124	72	19363	19358	3	3	2	2	0	0	6414	33.1250	991	1	1	2	0	991	6414	431593	0	Protista			78
Q10135	LibreOffice	Informatica	2010-10-22	5185	85	54	58330	28205	93	40	9	9	0	0	7558	12.9573	888	0	0	0	0	888	7558	294282	0	LibreOffice			66
Q101362	Homo erectus	Storia	2004-10-04	7394	179	147	10299	8642	6	3	3	3	0	0	11955	116.0792	1786	0	0	2	0	1027	11955	620613	0	Homo erectus			77
Q101373	Homo habilis	Storia	2005-07-05	7120	147	123	13130	13163	7	7	4	4	0	0	147	1.1196	764	1	1	1	0	764	147	511897	0	Homo habilis			68
Q101395	Numero di massa	Chimica	2004-09-17	7411	101	65	3218	3157	3	3	1	1	0	0	818	25.4195	831	1	1	0	0	831	818	349975	0				66
Q101487	Esteri	Chimica	2005-05-24	7162	197	129	8577	8577	1	1	1	1	0	0	2068	24.1110	1195	0	0	0	0	1195	1421	685565	0	Esters			66
Q101497	Aldeidi	Chimica	2004-10-05	7393	142	86	11685	11649	6	6	2	2	0	0	7774	66.5297	2060	0	0	0	0	2061	7774	492679	0	Aldehydes			69
Q101534	Rivoluzione di febbraio	Storia	2004-07-21	7469	37	86	38544	38343	56	56	9	9	0	0	9220	23.9207	664	0	0	0	0	885	9220	128620	0	February Revolution (Russia)			65
Q1016	Libia	Geografia	2004-07-16	7474	583	468	74824	69453	53	47	28	28	0	0	48617	64.9751	1602	2	1	2	1	1606	46956	2024787	0	Libya	ليبيا		146
Q1019	Madagascar	Geografia	2005-02-26	7249	596	547	62230	60807	34	31	22	22	0	0	10042	16.1369	3037	0	0	4	0	3385	10042	2067650	0	Madagascar	Madagasikara / Madagascar		149
Q101935	Ugonotti	Storia	2005-02-28	7247	174	128	21281	19643	5	4	3	3	0	0	4192	19.6983	845	0	0	0	0	845	4192	604969	0	Huguenots			66
Q101949	Mantello terrestre	Scienze	2004-02-19	7622	96	70	35170	34260	23	23	4	4	0	0	6137	17.4495	1551	0	0	0	0	1569	6137	332318	0	Structure of the Earth			65
Q101965	Esperimento	Fisica	2005-11-18	6984	30	18	14169	13713	18	18	7	6	0	0	8892	62.7567	974	0	0	0	0	952	8892	103859	0	Experiments			72
Q101998	Bioma	Biologia	2004-10-16	7382	157	128	22066	21978	18	18	5	5	0	0	997	4.5183	2144	0	0	0	0	2143	997	546226	0	Biomes			67
Q102083	Cavaliere	Storia	2019-03-30	2104	71	73	67137	66627	60	60	17	17	0	0	2056	3.0624	2803	0	0	0	0	2822	2056	247679	0	Knights			68
Q102192	Acqua dolce	Scienze	2006-05-23	6798	59	33	15427	15387	6	6	3	3	0	0	3817	24.7423	792	0	0	0	0	647	3817	204722	0	Freshwater			65
Q102205	Fluido	Fisica	2004-10-04	7394	60	37	5073	5038	4	4	1	1	0	0	721	14.2125	573	0	0	0	0	573	721	206832	0	Fluid			65
Q1022111	Limite notevole	Matematica	2005-11-09	6993	52	17	12417	12417	0	0	0	0	0	0	3805	30.6435	383	1	1	0	0	383	3805	180876	0				22
Q102416	Cenozoico	Storia	2007-01-15	6561	93	84	5316	5178	4	4	2	2	0	0	3946	74.2287	451	0	0	0	0	396	3946	322518	0	Cenozoic			69
Q1024999	Caccia (musica)	Letteratura italiana	2006-12-30	6577	7	6	3909	3909	1	1	0	0	0	0	50	1.2791	275	0	0	0	0	275	50	22714	0				9
Q102500	Simbolo chimico	Chimica	2005-10-29	7004	41	31	2433	2410	0	0	1	1	0	0	318	13.0703	1751	0	0	0	0	520	318	143004	0	Chemical symbols			65
Q102532	Dittongo	Grammatica italiana	2005-07-28	7097	107	39	12161	11322	2	2	0	0	0	0	2260	18.5840	1265	1	1	0	0	1265	2260	371764	0	Diphthongs			62
Q102585	Johann Gottlieb Fichte	Filosofia	2004-05-19	7532	129	92	54917	54658	25	25	7	7	0	0	19289	35.1239	66	0	0	0	0	355	19289	446308	0	Johann Gottlieb Fichte	Johann Gottlieb Fichte	Autore:Johann Gottlieb Fichte	65
